sample_id,repo,repo_url,historical_stack,strategy,build_command_template,output_hint,cutoff,preferred_cutoff,freeze_mode,snapshot_status,scan_status,notes
HIS-0001,codeforpride/MyResume,https://github.com/codeforpride/MyResume,PHP,php_runtime,php -S 127.0.0.1:{port} -t {source_dir},source,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,PHP site; scan via local PHP server.
HIS-0002,bamakant/Portfolio-website,https://github.com/bamakant/Portfolio-website,CSS,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0003,templateflip/material-portfolio,https://github.com/templateflip/material-portfolio,CSS,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0004,ndarville/workfolio,https://github.com/ndarville/workfolio,HTML/Jekyll,jekyll,bundle exec jekyll build -d {output_dir} || jekyll build -d {output_dir},_site,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Jekyll build.
HIS-0005,diiegopereira/freemo,https://github.com/diiegopereira/freemo,PHP/HTML,php_runtime,php -S 127.0.0.1:{port} -t {source_dir},source,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,PHP site; scan via local PHP server.
HIS-0006,YepMatCodes/Project-Portfolio-For-Web-Projects,https://github.com/YepMatCodes/Project-Portfolio-For-Web-Projects,CSS,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0007,phyninja/Instafam,https://github.com/phyninja/Instafam,HTML,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0008,matscode/melio,https://github.com/matscode/melio,PHP/CodeIgniter,php_runtime,php -S 127.0.0.1:{port} -t {source_dir},source,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,PHP site; scan via local PHP server.
HIS-0009,fractalfox01/Portfolio,https://github.com/fractalfox01/Portfolio,HTML/JS,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0010,chisom5/Portfolio-Design,https://github.com/chisom5/Portfolio-Design,CSS/SASS,static_or_node,if package.json exists: npm ci || npm install; npm run build if available; otherwise static copy,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Prefer compiled HTML/CSS; build only when package scripts are present.
