rank,name,url,category,subcategory,industry,design_style,color_mode,typography,hero_type,motion_level,product_ui,3d_webgl,distinctive_trait,curation_score_10,priority,tags,status,added_on,source_url,notes
1,Linear,https://linear.app,SaaS,Project management / Product development,B2B Software,"Dark minimal, technical, product-led",Dark,"Modern sans, large display",Interactive product UI,High,High,Low,Exceptional product presentation and motion,9.9,A,dark|minimal|product-ui|developer|motion,Active,2026-08-07,https://linear.app,Core benchmark
2,Attio,https://attio.com,SaaS,CRM,B2B Software,"Editorial SaaS, clean, premium",Light,"Sans, editorial scale",Product UI montage,Medium,High,Low,Excellent whitespace and CRM UI storytelling,9.8,A,editorial|clean|crm|product-ui|premium,Active,2026-08-07,https://attio.com,Core benchmark
3,Stripe,https://stripe.com,SaaS,Payments,Fintech,"Gradient, technical, polished",Mixed,"Sans, expressive display",Product ecosystem / diagrams,High,High,Medium,Category-defining visual systems and information architecture,9.8,A,fintech|gradient|technical|bento|product-ui,Active,2026-08-07,https://stripe.com,Core benchmark
4,Vercel,https://vercel.com,SaaS,Cloud / Developer platform,Developer Tools,"Monochrome, grid, technical",Dark,Geometric sans,Product + infrastructure visualization,High,High,Medium,Strong grid discipline and developer positioning,9.7,A,developer|monochrome|grid|minimal|motion,Active,2026-08-07,https://vercel.com,Core benchmark
5,Framer,https://www.framer.com,SaaS,Website builder,Design Tools,"Bold, creative, motion-heavy",Mixed,Large grotesk sans,Interactive site examples,High,High,Medium,Excellent motion and visual demonstration,9.7,A,creative|motion|bold-type|website-builder,Active,2026-08-07,https://www.framer.com,Core benchmark
6,Webflow,https://webflow.com,SaaS,Website platform,Design Tools,Creative product-led,Mixed,"Sans, bold hierarchy",Website/product showcase,High,High,Medium,Strong content density with polished art direction,9.4,A,design-tool|product-ui|creative|motion,Active,2026-08-07,https://webflow.com,
7,Resend,https://resend.com,SaaS,Email infrastructure,Developer Tools,"Dark minimal, developer-first",Dark,Sans + mono,Code/product UI,Medium,High,Low,Restrained developer aesthetic,9.4,A,dark|developer|minimal|code,Active,2026-08-07,https://resend.com,
8,Clerk,https://clerk.com,SaaS,Authentication,Developer Tools,"Technical grid, product-led",Light,Sans + mono accents,Product component demo,Medium,High,Low,Excellent documentation-meets-marketing language,9.3,A,developer|grid|product-ui|authentication,Active,2026-08-07,https://clerk.com,
9,PostHog,https://posthog.com,SaaS,Product analytics,Developer Tools,"Playful, retro, distinctive",Light,Sans + characterful display,Illustration + product UI,Medium,High,Low,Strong brand personality without losing usability,9.5,A,playful|retro|developer|illustration|product-ui,Active,2026-08-07,https://posthog.com,
10,Ramp,https://ramp.com,SaaS,Finance operations,Fintech,"Editorial fintech, high-contrast",Light,Bold sans,Product UI + proof,Medium,High,Low,Very strong conversion architecture,9.3,A,fintech|editorial|conversion|product-ui,Active,2026-08-07,https://ramp.com,
